company,brand_name,brand_slug
Amul (GCMMF),Amul,amul
Amul (GCMMF),Amul Gold,amul-gold
Amul (GCMMF),Amul Taaza,amul-taaza
Mother Dairy,Mother Dairy,mother-dairy
Mother Dairy,Mother Dairy Toned,mother-dairy-toned
Nestle India,Nestle Milk,nestle-milk
Nestle India,Nestle EveryDay,nestle-everyday
Heritage Foods,Heritage,heritage
Heritage Foods,Heritage Toned,heritage-toned
Verka (Milkfed),Verka,verka
Dodla Dairy,Dodla,dodla
Britannia Industries,Britannia,britannia
Britannia Industries,Britannia Cheese,britannia-cheese
Parag Milk Foods,Gowardhan,gowardhan
Parag Milk Foods,Go Cheese,go-cheese
Hatsun Agro,Hatsun,hatsun
Hatsun Agro,Arokya,arokya
Dudhsagar Dairy,Dudhsagar,dudhsagar
Warana Dairy,Warana,warana
Milma,Milma,milma
Nandini (KMF),Nandini,nandini
Govardhan Dairy,Gowardhan,gowardhan-dairy
Govardhan Dairy,Pride of Cows,pride-of-cows
Akshayakalpa,Akshayakalpa,akshayakalpa
