name,slug,brand,subcategory
Amul Gold Full Cream Milk,amul-gold-full-cream-milk,Amul Gold,Full Cream Milk
Amul Taaza Toned Milk,amul-taaza-toned-milk,Amul Taaza,Toned Milk
Amul Shakti Double Toned Milk,amul-shakti-double-toned-milk,Amul,Double Toned Milk
Amul Slim & Trim Skimmed Milk,amul-slim-trim-skimmed,Amul,Skimmed Milk
Amul UHT Milk,amul-uht-milk,Amul,UHT Milk
Mother Dairy Full Cream Milk,mother-dairy-full-cream,Mother Dairy,Full Cream Milk
Mother Dairy Toned Milk,mother-dairy-toned-milk,Mother Dairy,Toned Milk
Mother Dairy Double Toned Milk,mother-dairy-double-toned,Mother Dairy,Double Toned Milk
Mother Dairy UHT Milk,mother-dairy-uht-milk,Mother Dairy,UHT Milk
Nestle A+ Milk,nestle-a-plus-milk,Nestle Milk,Full Cream Milk
Nestle A+ Toned Milk,nestle-a-plus-toned,Nestle Milk,Toned Milk
Nestle A+ UHT Milk,nestle-a-plus-uht,Nestle Milk,UHT Milk
Heritage Full Cream Milk,heritage-full-cream,Heritage,Full Cream Milk
Heritage Toned Milk,heritage-toned-milk,Heritage Toned,Toned Milk
Verka Full Cream Milk,verka-full-cream,Verka,Full Cream Milk
Verka Toned Milk,verka-toned,Verka,Toned Milk
Verka Skimmed Milk,verka-skimmed,Verka,Skimmed Milk
Dodla Full Cream Milk,dodla-full-cream,Dodla,Full Cream Milk
Dodla Toned Milk,dodla-toned,Dodla,Toned Milk
Hatsun Arokya Full Cream,hatsun-arokya-full-cream,Arokya,Full Cream Milk
Hatsun Arokya Toned,hatsun-arokya-toned,Arokya,Toned Milk
Nandini Ksheera,nandini-ksheera,Nandini,Full Cream Milk
Nandini Toned,nandini-toned,Nandini,Toned Milk
Nandini Shubham,nandini-shubham,Nandini,Toned Milk
Milma Full Cream,milma-full-cream,Milma,Full Cream Milk
Milma Toned,milma-toned,Milma,Toned Milk
Dudhsagar Full Cream,dudhsagar-full-cream,Dudhsagar,Full Cream Milk
Warana Toned,warana-toned,Warana,Toned Milk
Amul Curd,amul-curd,Amul,Curd
Mother Dairy Curd,mother-dairy-curd,Mother Dairy,Curd
Nestle Milk Man Curd,nestle-milkman-curd,Nestle Milk,Dahi
Heritage Curd,heritage-curd,Heritage,Curd
Nandini Curd,nandini-curd,Nandini,Curd
Hatsun Curd,hatsun-curd,Hatsun,Curd
Milma Curd,milma-curd,Milma,Curd
Amul Butter,amul-butter,Amul,Butter
Mother Dairy Butter,mother-dairy-butter,Mother Dairy,Butter
Amul Ghee,amul-ghee,Amul,Ghee
Mother Dairy Ghee,mother-dairy-ghee,Mother Dairy,Ghee
Nestle EveryDay Ghee,nestle-everyday-ghee,Nestle EveryDay,Ghee
Heritage Ghee,heritage-ghee,Heritage,Ghee
Dodla Ghee,dodla-ghee,Dodla,Ghee
Hatsun Ghee,hatsun-ghee,Hatsun,Ghee
Nandini Ghee,nandini-ghee,Nandini,Ghee
Milma Ghee,milma-ghee,Milma,Ghee
Amul Paneer,amul-paneer,Amul,Paneer
Mother Dairy Paneer,mother-dairy-paneer,Mother Dairy,Paneer
Heritage Paneer,heritage-paneer,Heritage,Paneer
Dodla Paneer,dodla-paneer,Dodla,Paneer
Hatsun Paneer,hatsun-paneer,Hatsun,Paneer
Nandini Paneer,nandini-paneer,Nandini,Paneer
Amul Cheese,amul-cheese,Amul,Processed Cheese
Britannia Cheese,britannia-cheese,Britannia Cheese,Processed Cheese
Go Cheese,go-cheese,Go Cheese,Processed Cheese
Amul Cheese Slices,amul-cheese-slices,Amul,Cheese Slices
Britannia Cheese Slices,britannia-cheese-slices,Britannia Cheese,Cheese Slices
Amul Cheese Cubes,amul-cheese-cubes,Amul,Cheese Cubes
Amul Cheese Spread,amul-cheese-spread,Amul,Cheese Spread
Amul Cheese Slices,amul-cheese-slices,Amul Cheese,Processed Cheese
Amul Ice Cream Vanilla,amul-ice-cream-vanilla,Amul,Ice Cream
Amul Kool Kesar,amul-kool-kesar,Amul,Flavoured Milk
Amul Shrikhand,amul-shrikhand,Amul,Shrikhand
Amul Skimmed Milk Powder,amul-skimmed-milk-powder,Amul,Skimmed Milk Powder
Mother Dairy Dahi,mother-dairy-dahi,Mother Dairy,Curd
Mother Dairy Ice Cream,mother-dairy-ice-cream,Mother Dairy,Ice Cream
Nestle Milkpak Curd,nestle-milkpak-curd,Nestle Milk,Curd
Heritage Butter,heritage-butter,Heritage,Butter
Heritage Lassi,heritage-lassi,Heritage,Lassi
Verka Butter,verka-butter,Verka,Butter
Verka Ghee,verka-ghee,Verka,Ghee
Verka Paneer,verka-paneer,Verka,Paneer
Verka Skimmed Milk Powder,verka-skimmed-milk-powder,Verka,Skimmed Milk Powder
Verka Lassi,verka-lassi,Verka,Lassi
Dodla Butter,dodla-butter,Dodla,Butter
Dodla Curd,dodla-curd,Dodla,Curd
Britannia Cheese Slices,britannia-cheese-slices,Britannia Cheese,Processed Cheese
Britannia Ghee,britannia-ghee,Britannia,Ghee
Parag Gowardhan Ghee,parag-gowardhan-ghee,Gowardhan,Ghee
Go Cheese Slices,go-cheese-slices,Go Cheese,Processed Cheese
Go Mozzarella Block,go-mozzarella-block,Go Cheese,Mozzarella
Hatsun Butter,hatsun-butter,Hatsun,Butter
Arokya Curd,arokya-curd,Arokya,Curd
Arun Ice Cream Vanilla,arun-ice-cream-vanilla,Hatsun,Ice Cream
Dudhsagar Butter,dudhsagar-butter,Dudhsagar,Butter
Dudhsagar Ghee,dudhsagar-ghee,Dudhsagar,Ghee
Warana Ghee,warana-ghee,Warana,Ghee
Warana Shrikhand,warana-shrikhand,Warana,Shrikhand
Milma Butter,milma-butter,Milma,Butter
Nandini Butter,nandini-butter,Nandini,Butter
Nandini Lassi,nandini-lassi,Nandini,Lassi
Nandini Milk Powder,nandini-milk-powder,Nandini,Milk Powder
Akshayakalpa Curd,akshayakalpa-curd,Akshayakalpa,Curd
Akshayakalpa Butter,akshayakalpa-butter,Akshayakalpa,Butter
Pride of Cows Milk,pride-of-cows-milk,Pride of Cows,Full Cream Milk
