category,name,slug
Milk,Full Cream Milk,full-cream-milk
Milk,Toned Milk,toned-milk
Milk,Double Toned Milk,double-toned-milk
Milk,Skimmed Milk,skimmed-milk
Milk,UHT Milk,uht-milk
Milk,A2 Milk,a2-milk
Milk,Flavoured Milk,flavoured-milk
Fermented Dairy,Curd,curd
Fermented Dairy,Dahi,dahi
Fermented Dairy,Yogurt,yogurt
Fermented Dairy,Greek Yogurt,greek-yogurt
Fermented Dairy,Buttermilk,buttermilk
Fermented Dairy,Lassi,lassi
Dairy Fats,Ghee,ghee
Dairy Fats,Butter,butter
Dairy Fats,Cream,cream
Fresh Dairy,Paneer,paneer
Fresh Dairy,Fresh Cheese,fresh-cheese
Cheese,Processed Cheese,processed-cheese
Cheese,Cheddar,cheddar
Cheese,Mozzarella,mozzarella
Cheese,Cheese Slices,cheese-slices
Cheese,Cheese Cubes,cheese-cubes
Cheese,Cheese Spread,cheese-spread
Frozen Dairy,Ice Cream,ice-cream
Frozen Dairy,Frozen Dessert,frozen-dessert
Frozen Dairy,Kulfi,kulfi
Dairy Sweets,Rasgulla,rasgulla
Dairy Sweets,Peda,peda
Dairy Sweets,Gulab Jamun,gulab-jamun
Dairy Ingredients,Milk Powder,milk-powder
Dairy Ingredients,Skimmed Milk Powder,skimmed-milk-powder
Dairy Ingredients,Whey,whey
Dairy Sweets,Shrikhand,shrikhand
